ID,generated
TEST_0000,0.0016437326557934284
TEST_0001,0.999370276927948
TEST_0002,5.697042070096359e-06
TEST_0003,0.9998010993003845
TEST_0004,0.9983431100845337
TEST_0005,0.9995074272155762
TEST_0006,0.9998764991760254
TEST_0007,0.018565980717539787
TEST_0008,0.9997881054878235
TEST_0009,9.270428563468158e-06
TEST_0010,1.704972055449616e-05
TEST_0011,2.2212012481759302e-05
TEST_0012,0.9992038607597351
TEST_0013,3.3189776331710164e-06
TEST_0014,1.3467490589391673e-06
TEST_0015,1.7332631614408456e-06
TEST_0016,4.630837338481797e-06
TEST_0017,0.9950365424156189
TEST_0018,0.9996795654296875
TEST_0019,0.9672117233276367
TEST_0020,3.5203258903493406e-06
TEST_0021,0.00016588400467298925
TEST_0022,0.0004656219098251313
TEST_0023,0.9996676445007324
TEST_0024,9.53338349063415e-06
TEST_0025,2.16337184610893e-06
TEST_0026,0.9998857975006104
TEST_0027,0.9998856782913208
TEST_0028,2.14839237742126e-05
TEST_0029,3.203327287337743e-05
TEST_0030,1.0192756008109427e-06
TEST_0031,0.9997304081916809
TEST_0032,0.9988340735435486
TEST_0033,1.0688127076718956e-05
TEST_0034,6.601353561563883e-06
TEST_0035,0.0005946031305938959
TEST_0036,1.5829689345991937e-06
TEST_0037,6.951608156668954e-06
TEST_0038,0.9999682903289795
TEST_0039,0.999847412109375
TEST_0040,0.9922715425491333
TEST_0041,0.9975637197494507
TEST_0042,0.9998384714126587
TEST_0043,0.9998295307159424
TEST_0044,0.0005577189731411636
TEST_0045,1.6082206002465682e-06
TEST_0046,0.9998970031738281
TEST_0047,0.9979918003082275
TEST_0048,0.0001325986668234691
TEST_0049,0.9999949932098389
TEST_0050,0.03540784493088722
TEST_0051,0.9999872446060181
TEST_0052,0.0036118170246481895
TEST_0053,0.9999769926071167
TEST_0054,3.550156407072791e-06
TEST_0055,0.007734055630862713
TEST_0056,0.9999691247940063
TEST_0057,0.9998993873596191
TEST_0058,5.523923391592689e-06
TEST_0059,1.4173224371916149e-06
TEST_0060,0.00016628373123239726
TEST_0061,0.001180601422674954
TEST_0062,0.9993711113929749
TEST_0063,1.063781724042201e-06
TEST_0064,3.7010076994192787e-06
TEST_0065,0.9995622038841248
TEST_0066,0.00010444433428347111
TEST_0067,7.3061721650447e-07
TEST_0068,0.0005120557616464794
TEST_0069,9.797391840038472e-07
TEST_0070,1.4920534567863797e-06
TEST_0071,0.0004721923323813826
TEST_0072,1.9789401903835824e-06
TEST_0073,0.9992923736572266
