ID,generated
TEST_0000,0.0021854639053344727
TEST_0001,0.9997029900550842
TEST_0002,1.629621920073987e-06
TEST_0003,0.9998863935470581
TEST_0004,0.999752938747406
TEST_0005,0.9998205304145813
TEST_0006,0.9999282360076904
TEST_0007,0.753180205821991
TEST_0008,0.9999047517776489
TEST_0009,2.00538624994806e-06
TEST_0010,6.525173375848681e-06
TEST_0011,1.1267146874160971e-05
TEST_0012,0.9993108510971069
TEST_0013,1.0735287787611014e-06
TEST_0014,6.814200332883047e-07
TEST_0015,8.616304967290489e-07
TEST_0016,1.4211989309842465e-06
TEST_0017,0.9980329871177673
TEST_0018,0.9998313188552856
TEST_0019,0.9948594570159912
TEST_0020,1.1617181598921889e-06
TEST_0021,0.00013073238369543105
TEST_0022,0.0012362637789919972
TEST_0023,0.9997987151145935
TEST_0024,3.4130653148167767e-06
TEST_0025,9.278072070628696e-07
TEST_0026,0.9999501705169678
TEST_0027,0.9999269247055054
TEST_0028,9.697225323179737e-06
TEST_0029,2.287338975293096e-05
TEST_0030,5.92242088259809e-07
TEST_0031,0.9998412132263184
TEST_0032,0.9993222951889038
TEST_0033,5.307246738084359e-06
TEST_0034,2.3718282591289608e-06
TEST_0035,0.0004086696426384151
TEST_0036,6.022057164045691e-07
TEST_0037,2.150363798136823e-06
TEST_0038,0.999981164932251
TEST_0039,0.9998983144760132
TEST_0040,0.47770699858665466
TEST_0041,0.9992813467979431
TEST_0042,0.9998880624771118
TEST_0043,0.9998925924301147
TEST_0044,0.0005945985903963447
TEST_0045,6.665941896244476e-07
TEST_0046,0.9999374151229858
TEST_0047,0.9993914365768433
TEST_0048,3.146048038615845e-05
TEST_0049,0.9999935626983643
TEST_0050,0.05336173623800278
TEST_0051,0.9999898672103882
TEST_0052,0.004806132055819035
TEST_0053,0.9999814033508301
TEST_0054,1.187402062896581e-06
TEST_0055,0.00881143007427454
TEST_0056,0.9999808073043823
TEST_0057,0.9999388456344604
TEST_0058,1.1008393130396144e-06
TEST_0059,5.721996103602578e-07
TEST_0060,0.00011378053750377148
TEST_0061,0.0008882851689122617
TEST_0062,0.9997228980064392
TEST_0063,5.798628421871399e-07
