title,full_text,generated
뱌지마 전투,외젠의 반격으로 뱌지마 - 페도롭스코예 도로가 프랑스군에게 되돌려졌고 다부는 퇴각을 이어갈 수 있었다.,1
뱌지마 전투,"비록 러시아군이 전 전선에서 프랑스군에게 패배했지만, 전투는 아직 끝나지 못할 수밖에 없었다.",1
뱌지마 전투,"밀로라도비치는 외젠의 공격으로 밀려났지만, 휘하 병력을 도로와 평행하게 배열시켜 뱌지마로 퇴각하면서 다부의 군단을 향해 포격을 가했다.",1
뱌지마 전투,"러시아 포병의 공격으로 인해 프랑스군은 도로에서 물러나 자포자기에 몰려 외젠 군단 후방으로 이동하기 위해 개활지로 나섰고, 10시경 밀로라도비치 보병대가 도착하면서 다부 군단은 외젠 군단과 거의 마주하게 되었다.",1
뱌지마 전투,"외젠의 군대도 러시아군의 공세에 밀려 후퇴를 감행했는데, 당시 전투 상황을 목격한 영국 장군 로버트 윌슨 경(Sir Robert Wilson)은 이를 다음과 같이 기록했다.",1
뱌지마 전투,"세귀르는 러시아군의 포격과 총격이 당시 ""매우 정교했다""고 평가했다.",1
뱌지마 전투,"프랑스군을 이끄는 다부, 외젠, 포니아토프스키는 오후 2시경, 혼란스러운 상황 속에서 러시아군의 공세에 맞서 승리 가능성이 없다고 판단하여 뱌지마로 퇴각하기로 결정했다.",1
뱌지마 전투,"밀로라도비치는 프랑스군이 약해진 상황을 파악하고 프랑스군을 완전히 물리치고 승리할 수 있는 기회라고 판단하여 쿠투조프에게 지원군을 급박하게 요청했지만, 쿠투조프는 20마일 떨어진 곳에서 대기하던 중 우바로프 장군에게 단지 3,000명의 중기병만을 파견했다.",1
뱌지마 전투,"오후 4시경, 뱌지마 전투가 확산되면서 도시가 불길에 휩싸이자, 코글로코프의 보병부대가 플라토프 코사크 분대의 프랑스군 공격 발발과 동시에 뱌지마 시내로 침투하여 근접전을 벌였다.",1
뱌지마 전투,"오후 8시 경, 전투는 거의 끝나고 다부, 외젠, 포니아토프스키는 뱌지마 서쪽으로 후퇴하며 러시아군의 공세에서 벗어났고, 네 후방부대는 마지막으로 퇴각하며 러시아 척탄병과 총검 전투를 벌여 큰 피해를 입혔다.",1
뱌지마 전투,"프랑스군이 퇴로를 확보하기 위해 도시 곳곳에 불을 지르면서 많은 병사들이 화상을 입었고, 이 과정에서 프랑스군이 시민과 러시아 포로들을 건물에 가두었다는 비극적인 사건이 발생하여 러시아군이 간신히 구출하는 끔찍한 상황이었다.",1
뱌지마 전투,"저녁 때 네 휘하 군단은 뱌지마 교외 서쪽에서 러시아군을 감시했지만, 러시아군의 공격에 직면하면 심각한 위협을 받을 수 있었다고 콜랭쿠르에 따르면 네는 동틀 녘까지 퇴각해야만 군대를 궤멸로부터 구할 수 있었다고 말했다.",1
뱌지마 전투,"다음날 프랑스군은 퇴각하며 마차를 불태우고 폭파하여 도로를 차단했고, 네는 나폴레옹에게 패전 상황을 자세히 보고했습니다.",1
뱌지마 전투,"뱌지마 전투는 프랑스군의 대규모 패배로 이어졌고, 6,000에서 8,000명의 사상자를 냈으며 그 중 4,000명이 포로로 잡혔고, 이는 러시아군의 공격으로 인해 프랑스군이 무질서 상태에 빠지고 명령이 제대로 전달되지 않아 퇴각 중 혼란을 야기하며 코사크 부대에게 큰 타격을 입혔음을 보여주는 전투였다.",1
