title,full_text,generated
웨스트버지니아주,남부 지역의 석탄 중 유황 함량이 낮은 품종은 1990년 연방 공기 정화 법 시행 이후 높은 수요를 기록해왔다.,1
웨스트버지니아주,석탄 산업의 생산성 향상을 위한 기술 발전은 일자리 감소로 이어져 웨스트버지니아 주의 탄광 지역에서 고용 문제가 심각해졌다.,1
웨스트버지니아주,"웨스트버지니아 주에서 천연가스가 가장 중요한 광물로, 주 서부 지역에 주로 천연가스 매장지가 위치하며, 폐쇄된 매장지는 주변 주들인 루이지애나, 오클라호마, 텍사스로부터 공급되는 천연가스를 저장하는 용도로 활용된다.",1
웨스트버지니아주,"주는 깨진 돌, 석유, 모래, 자갈을 채굴하며, 주 북서부에서 생산되는 석유는 가솔린, 연료 기름 등으로 가공하기 위해 뉴웰의 정제소로 운송되고, 깨진 돌은 주 동부의 석회암 체석장에서, 모래와 자갈은 오하이오 강 준설 운영을 통해 확보된다.",1
웨스트버지니아주,"웨스트버지니아 주의 면적의 약 25%를 차지하는 농장 지역은 주 농업 소득의 80% 이상을 가축과 축산물에서 얻는데, 가금류와 가금류가 가장 중요한 역할을 한다.",1
웨스트버지니아주,"웨스트버지니아 주 농업 수익의 일부를 차지하는 주요 농작물은 건초, 온실 및 종묘품을 포함한 옥수수, 콩, 밀이며, 대부분의 건초는 소 사료로 사용됩니다.",1
웨스트버지니아주,"웨스트버지니아 주 농부들은 채소, 딸기, 과일을 재배하며, 특히 사과와 복숭아가 주요 품목으로, 동부 지역은 미국에서 가장 유명한 사과 재배지 중 하나이다.",1
웨스트버지니아주,"2000년 미국 인구 조사에 따르면, 웨스트버지니아 주의 인구는 1,808,344명으로 50개 주 중 37위를 기록했으며, 1980년대의 경제적 어려움 이후 1990년대에 인구가 증가하는 추세를 보였다.",1
웨스트버지니아주,"웨스트버지니아 주의 인구 중 약 55%가 주 내 10개의 메트로폴리탄 지역에 거주하며, 이 지역들은 주 전체에 걸쳐 위치하고 있으며 그 중 8개는 주의 일부 지역과 다른 주와 접해 있습니다.",1
웨스트버지니아주,"웨스트버지니아 주민의 절반 이상이 주 내 200개가 넘는 도시, 마을에 거주하며, 과거에는 탄광과 농업을 위한 중심지였던 곳들이 많다.",1
웨스트버지니아주,"웨스트버지니아 주민 대부분은 미국에서 태어났으며, 주민들의 유전적 배경은 독일, 아일랜드, 영국, 아메리카 인디언, 그리고 3% 이상의 아프리카계 미국인으로 이루어져 있으며, 19세기 후반과 20세기 초반에는 탄광 근로자를 끌어들여 많은 이민자가 주로 이주했습니다.",1
자크 마리탱,자크 마리탱은 1906년 개신교에서 가톨릭으로 개종하여 그의 철학에 큰 영향을 미쳤다.,1
자크 마리탱,자크 마리탱과 라이사 마리탱의 작품은 미셸 푸르카드의 전기 출간과 마리탱의 서한집 출판을 통해 최근 깊이 재조명받고 있다.,1
자크 마리탱,"자크 마리탱은 1945년부터 1948년까지 주교황청 프랑스 대사를 역임했고, 유대인 출신 시인이자 철학자였던 라이사 우만소프와 결혼하여 그녀의 작품을 포함한 책을 출판했다.",1
자크 마리탱,"마리탱의 철학은 인식, 윤리, 형이상학, 예술 등 다양한 사상 분야를 포괄한다.",1
김용환 (만화가),"김용환은 1912년부터 1998년까지 활동한 한국의 대표적인 시사만화 작가로, '코주부'를 창작했다.",1
김용환 (만화가),"1912년 김해 진영에서 태어난 그는 부모님이 과수원을 경영하시는 가정에서 자라며 어릴 적부터 그림을 좋아했고, 동래고등보통학교에 입학하기 위해 답안지에 연재 만화를 그려 제출하여 입학에 성공했다.",1
김용환 (만화가),"졸업 후 일본 유학을 통해 데이고쿠 미술학교에 입학하여 서양화를 전공했고, 《니혼쇼넨》 등에 삽화를 연재하며 《소공자》의 삽화 작업에도 참여했다.",1
김용환 (만화가),"해방 후 그는 서울로 돌아와 《서울타임즈》, 《중앙신문》, 《동아일보》 등의 신문에서 시사만평을 꾸준히 그렸다.",1
김용환 (만화가),"1950년 한국 전쟁은 김용환에게 끊임없는 시련으로 이어져, 인민군 포로, 유엔군 포로, 그리고 미군 심리전 담당자로서 다양한 역할을 맡게 만들었다.",1
김용환 (만화가),은퇴 후 《통일일보》 고문으로 일하다가 1995년 미국 로스앤젤레스로 이주했습니다.,1
