title,full_text,generated
나리타 익스프레스,"도쿄역부터 나리타역까지의 구간에서 유효한 '보소 요금 회수권'이 있으며, 이전에는 시나가와역부터 오후나역까지 'N'EX 요금 4회권'이라는 특급 요금 회수권을 사용할 수 있었지만 2006년 3월에 폐지되었습니다.",1
나리타 익스프레스,"이 티켓은 나리타 공항역과 공항 제2 터미널역에서 도쿄 지하철 특정 구간까지의 이용권, 일반 좌석 특급권, 오리지널 디자인의 무명 Suica 카드가 세트로 구성되어 편도 이용에만 사용 가능하며, 나리타 익스프레스 이용권 및 특급권의 유효 기간은 발행일로만 결정됩니다.",1
나리타 익스프레스,"또한 JR 동일본 패스, 도쿄 와이드 패스를 사용해도 이 열차를 탈 수 있습니다.",1
나리타 익스프레스,"나리타 공항행 항공권이나 여행 상품 구매 시, JR 동일본의 뷰 플라자, 제휴 판매 센터 등에서 특별 가격으로 나리타 공항과 도쿄역 간 특정 구간을 이용할 수 있는 2매 또는 3매 세트의 특별 승차권을 발매했습니다.",1
나리타 익스프레스,"2013년 3월부터는 ""N'EX 왕복 티켓""이라는 새로운 승차권으로 대체되어 서비스가 종료되었습니다.",1
나리타 익스프레스,"2013년 3월 1일부터 JR 동일본 수도권 주요 역의 지정석권매기, 뷰 플라자, 제휴 판매 센터, 주요 여행사에서 구매 가능한 특별 기획 승차권은 승차 1개월 전부터 당일 전까지만 발매됩니다.",1
나리타 익스프레스,"이 티켓은 14일 동안 유효하며, 일반 좌석과 녹차 좌석을 선택할 수 있습니다. 하지만 중간에 하차는 불가능하며, 미도리노마도구치에서 구매할 수 없고, 사용하지 않거나 돌아오는 티켓을 사용하지 않을 경우에만 환불이 가능합니다.",1
나리타 익스프레스,"N'EX 쿠폰 사용 시, 도쿄도 내 이용은 기존과 동일하지만 도쿄도 외 지역은 요금이 상승했습니다.",1
나리타 익스프레스,"2015년 3월 14일부터 판매된 이 승차권은 방일 외국인 전용으로, 나리타 공항역부터 요코하마역까지의 나리타 익스프레스 보통칸 지정석을 왕복 이용할 수 있도록 합니다.",1
나리타 익스프레스,"나리타 익스프레스에 탑승한 후, 개찰구를 통과하지 않고 다른 일반 열차로 환승하여 도쿄 지하철 특정 구간 내의 역을 선택하여 하차할 수 있습니다.",1
나리타 익스프레스,"이 상품은 발매일로부터 14일 동안 사용 가능하며, 가격은 성인 4000엔, 어린이 2000엔으로 일정합니다.",1
나리타 익스프레스,"대기업을 위한 특별 기획 승차권으로, 지정석 특급권과 승차권이 결합된 회수권이다.",1
나리타 익스프레스,"나리타 익스프레스는 요요기-신주쿠 구간에만 운행되므로, 이 구간을 이용하는 경우 오차노미즈를 경유하는 주오선 및 소부선 요금이 적용됩니다.",1
